attributed_at_date,source_group,source,spend_usd
9/21/22,paid,facebook ads,$796.19 
9/21/22,paid,google ads,"$4,814.65 "
9/20/22,paid,bing ads,$92.26 
9/20/22,paid,google ads,"$4,487.68 "
9/20/22,paid,facebook ads,$849.70 
9/19/22,paid,facebook ads,$624.39 
9/19/22,paid,google ads,"$4,765.43 "
9/19/22,paid,bing ads,$98.29 
9/18/22,paid,google ads,"$4,671.46 "
9/18/22,paid,bing ads,$93.97 
9/18/22,paid,facebook ads,$576.42 
9/17/22,paid,google ads,"$3,652.78 "
9/17/22,paid,bing ads,$85.60 
9/17/22,paid,facebook ads,$575.99 
9/16/22,paid,facebook ads,$510.98 
9/16/22,paid,bing ads,$97.18 
9/16/22,paid,google ads,"$3,145.37 "
9/15/22,paid,google ads,"$4,048.11 "
9/15/22,paid,bing ads,$119.38 
9/15/22,paid,facebook ads,$552.47 
9/14/22,paid,facebook ads,$536.65 
9/14/22,paid,google ads,"$3,913.50 "
9/14/22,paid,bing ads,$101.20 
9/13/22,paid,bing ads,$278.84 
9/13/22,paid,google ads,"$4,343.68 "
9/13/22,paid,facebook ads,$550.11 
9/12/22,paid,google ads,"$4,382.10 "
9/12/22,paid,facebook ads,$547.79 
9/12/22,paid,bing ads,$298.56 
9/11/22,paid,facebook ads,$668.46 
9/11/22,paid,google ads,"$6,050.84 "
9/11/22,paid,bing ads,$307.55 
9/10/22,paid,bing ads,$156.25 
9/10/22,paid,facebook ads,$643.09 
9/10/22,paid,google ads,"$4,882.30 "
9/9/22,paid,google ads,"$5,607.01 "
9/9/22,paid,facebook ads,$624.22 
9/9/22,paid,bing ads,$122.66 
9/8/22,paid,facebook ads,$641.83 
9/8/22,paid,bing ads,$155.49 
9/8/22,paid,google ads,"$6,451.62 "
9/7/22,paid,bing ads,$110.67 
9/7/22,paid,facebook ads,$524.85 
9/7/22,paid,google ads,"$5,646.39 "
9/6/22,paid,bing ads,$73.74 
9/6/22,paid,facebook ads,$572.48 
9/6/22,paid,google ads,"$5,518.80 "
9/5/22,paid,facebook ads,"$1,033.32 "
9/5/22,paid,bing ads,$99.56 
9/5/22,paid,google ads,"$6,219.16 "
9/4/22,paid,bing ads,$93.98 
9/4/22,paid,facebook ads,"$1,027.52 "
9/4/22,paid,google ads,"$4,147.58 "
9/3/22,paid,facebook ads,$923.98 
9/3/22,paid,bing ads,$103.01 
9/3/22,paid,google ads,"$3,215.93 "
9/2/22,paid,bing ads,$87.84 
9/2/22,paid,facebook ads,$792.95 
9/2/22,paid,google ads,"$3,018.66 "
9/1/22,paid,facebook ads,$798.19 
9/1/22,paid,google ads,"$2,914.27 "
9/1/22,paid,bing ads,$72.21 
8/31/22,paid,google ads,"$2,926.96 "
8/31/22,paid,bing ads,$95.41 
8/31/22,paid,facebook ads,$822.31 
8/30/22,paid,facebook ads,$912.87 
8/30/22,paid,google ads,"$2,633.35 "
8/30/22,paid,bing ads,$89.51 
8/29/22,paid,bing ads,$104.87 
8/29/22,paid,facebook ads,$951.21 
8/29/22,paid,google ads,"$2,471.76 "
8/28/22,paid,bing ads,$93.63 
8/28/22,paid,facebook ads,"$1,251.29 "
8/28/22,paid,google ads,"$2,569.06 "
8/27/22,paid,google ads,"$1,779.38 "
8/27/22,paid,facebook ads,"$1,213.36 "
8/27/22,paid,bing ads,$69.94 
8/26/22,paid,bing ads,$60.39 
8/26/22,paid,google ads,"$1,731.75 "
8/26/22,paid,facebook ads,"$1,169.86 "
8/25/22,paid,facebook ads,"$1,174.56 "
8/25/22,paid,bing ads,$60.88 
8/25/22,paid,google ads,"$1,668.23 "
8/24/22,paid,google ads,"$1,638.92 "
8/24/22,paid,bing ads,$57.26 
8/24/22,paid,facebook ads,"$1,171.31 "
8/23/22,paid,google ads,"$1,533.45 "
8/23/22,paid,bing ads,$47.12 
8/23/22,paid,facebook ads,"$1,219.26 "
